Plate ID,Reports Count,Plate Issuer,Plate Status,Unique vehicles,Tags,Seen at Whipple,Plate Record Notes,Images,Last Seen,Last Location Seen,Plate,Submit Report
376WBM (MN),18,MN - Minnesota,Confirmed ICE,"Dark gray / grey SUV Chevrolet (Chevy) Tahoe, Blue SUV Chevrolet (Chevy) Tahoe, Dark gray / grey SUV Chevrolet (Chevy) , Gray / grey  Chevrolet (Chevy) Tahoe, Black SUV Chevrolet (Chevy) , Gray / grey SUV Chevrolet (Chevy) Tahoe, Gray / grey SUV Chevrolet (Chevy) ,    , Gray / grey SUV  , Black SUV Chevrolet (Chevy) Tahoe,  SUV Chevrolet (Chevy) Tahoe,  SUV  , Dark SUV Chevrolet (Chevy) Tahoe","Verbally or physically aggressive, ""Intimidation (observing, filming, etc.)"", ICE agent(s) seen in vehicle, Erratic/aggressive driving, Tinted/blacked-out windows",checked,Also entered as 376WBH,"2026-01-04 11.27.05.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/ywHFYMf0pbaX9gqWMioKyA/QdjnTr2qbUcmvSEp0xK9rsCLNiGTKwnW_9f-TEVJu7wemYLaos6_6TVCvb-HJLAtRsKGI4OESTcHMPW4b2U7NOm3msvbNjjHWgmzvTn2Wuuu1y61IX4ZbCvJi0nC4aoDHaFwDzwyIAzjvOHNqLNl-LhPGQeTFVXSzcm5rS92VME/mQ9Efy84M07bk6VN-z_UUvJZBKC8zM607ydpgzw5jlA),376WBM-gray-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/JBXWJjyhsAc0xTFq7lZKNw/SQJhQML927xvuxkOs4zzQUwzwPAXqAJuVKLX3aHy0h0_Awust8uWrA_ym6LvT3B12hGnHQ0Y4r0JKKrkn3_-exPgjwcP02b8yoV_uH-_NyrhGFhsnKoFNIDxcro8-J2SpJLwgw0Uu5H6ntAKXe-MWe3ianjk-DJgKAAg1IXVNhw/m2_aCONpZTSrN0bzYyT7mH2bmMWPoad3GQL7J4hLxh0),376WBM-Gray-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/fD4_gLU07JTTsFABxyotzQ/4vTy2mluEKm3Gs3LeJwsT9-apBUUrBl6IP1trAw1bH_bw24F2kLZT20N8AG5Y7l7NKOFL6QAYCoP8M0XAMFu-UmErx8yUHj6l0VA1Hr3ErbCEf6Y2jMarNbc1TZaYlbFW9x7_C52Kzi5TfWu20PJukXGb7C9hUXRGIdZ05_AaUU/Tme4CmI7hW3SLChYuDJ9B8DDK7ypYZYEjoP5rozeHRg),23b46cfe9044f001ba243576dc1e3a97202f80d64cbe445d0a98cc10a41d7858.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/TQM3VvEUrV_xW-MJ7exGyw/EnGnTZI9t8vc0fFmRuF_e6vxR3VY2mg1jszKrjBuhhAhggQ8pw7emU2Xvur7zCXMZL2Qa1C7rVAswX9YdvJIDdSirMCiQUrOC4G5kXShiTja3ixUfmSI5rwnrzPuC9RsUmeYnVdTLK1VkhKVAreGnN2VLVzgOsAvIQGAeIrIHqeMtLsZkOsOrFQu6VExPIGvbX8TDbiFPXJWtt46mD8eYS05aEGJ1VBYwM1BVNaMygc/mNo0b2DsyRyEgbkz7W3xNuVIu_SBka7hAbwnSnhDpf4)",1/16/2026 8:00am,Whipple,376WBM,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=376WBM&prefill_Plate+Issuer=MN%20-%20Minnesota
378284,1,,Confirmed ICE,Black SUV Chevrolet (Chevy) Suburban,"ICE agent(s) seen in vehicle, Present at raid or abduction",,,IMG_6723.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/g8Y8H20CzcKwGrqHy5yyUw/kGZ26uVDuT4OEjCyJZrk2KoZDku1arBqvObd0L-XclVfOKTv3i-GydScLaTRD4ckd7U6SnXIZMRen31VEhICgLWFFxc2husTRrmGNL9RFc4sLPrY__nfYS7g7RHNE0_CkzZgCzdltEYQIV5E6g6Vqz38BwYcaYsbMxckEr0KSOw/KX91PPcnFFiftn1PAkJ3GyVEOOhoQCz5tRarm63oB0A),1/7/2026 3:30pm,"Roosevelt High School 4029 S 28th Ave,  Minneapolis, MN 55406",378284,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=378284
37898A (WI),3,WI - Wisconsin,Highly suspected ICE,"   , Gray / grey Sedan Nissan Ultima, Dark gray / grey Sedan Nissan ","Present at raid or abduction, Seen in a convoy",checked,,e8ac80c2bbc29fd267bdefa61c8e768feff1aacacb68efb5c27dae0e5dbc8800.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/aar9U4-Ccl6wHUbssf66Yg/w5TnGbbcIWGkGwpx-0YYKYog_yph-u6XHKkKtTjvQUBB8a2CmPlMEsEl-i4Pl3pZOjE16Rl9wg1V5bhftWSn9intv0Bst9X_jOJ8DXM29PZ-sSmN5Binq5ftSlqzBztWZusasPB_QhcCgRBcLHt8yqcMYK6skvNNl27_SnE-rjk-TRtTRVrj1zIOjhjCpP4YRXHdkWO7sWQLjr61CvW3Ao1u-Vp2Uw6F8ldL1-Fhr8s/Ube376mxFfrI8RCXv1YqL0QLT1YV0eoNwM1CbHvJ38c),1/16/2026 7:30am,Whipple,37898A,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=37898A&prefill_Plate+Issuer=WI%20-%20Wisconsin
38116A (WI),2,WI - Wisconsin,Highly suspected ICE,"Dark SUV Audi , Black  Audi ",Seen in a convoy,checked,,IMG_1381.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/wJqvTl5hWRPIZc2zaDwKHQ/udcyA7ET87475CVP9g7Vx1h3GSCP7qUQcaE7U3L_KALkQf2NpxMGffzj5UdAhvoVHQ24cjLnFz29SGDaY4fh6h2kmvju69Bi875DJCeMcXry-GV7mdJkk8Vdn3b_Owbts5hWwZH3uzQHS3MUjxfORrP7XhKvrY4I2ful3ftA7WE/8fBgTvG99MbricB4AFo3iFgaXhMPfpd1LnzGjALGyq0),1/12/2026 8:09pm,Whipple,38116A,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=38116A&prefill_Plate+Issuer=WI%20-%20Wisconsin
394R28 (MN),2,MN - Minnesota,Highly suspected ICE,   ,Seen in a convoy,checked,,,1/12/2026 8:30am,Whipple,394R28,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=394R28&prefill_Plate+Issuer=MN%20-%20Minnesota
394RDA (MN),16,MN - Minnesota,Confirmed ICE,"Black SUV Ford Expedition, Black SUV Ford Explorer, Black SUV  ,    , Black  Ford , Black SUV Ford , Black   , Dark   , Black  Ford Expedition","Involved in abduction, ICE agent(s) seen in vehicle, Involved in abduction, Present at raid or abduction, Embedded lights, Seen in a convoy, Seen with known ICE vehicle, Present at raid or abduction, Involved in abduction",checked,,"394RDA.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/JC6vLAi24__UfAwHNYJmbw/imAOCncanXWK8IaeA4BkWLDFlIAX6iz0aLhF1wmNe8vIRvx6qAWpods5S18-5QzIJ0CCT31QsBKhl7unRy131H67E_6qGM1W-qn4q46v_W3VTK3pcxaiiWScLvaWL1lJ_3hWnB6fy6O_n9N3QPvi81phBGGchT9b2LQNgv4Fp10/NcesqVstGDuId-ythZuVoigUTc1woB1Vv_P8lJvEcpk),394RDA_front.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/StKgEbntDD6OagyK-bZTww/yPeRg4DGtevY8l2sUH1a2en_9Dg7JtsWjRQJtLu4qCrnngeBA0jf10Fn3qANBEVk9RuT2iqBZb335cMNpJL4MAJuTv86sVWo6QlnyT5RZ94wYRJaXSv2PkiBcj_w8ce3VhbcwZ26OzzL6PzRwgQCeC8TAInMuhwT2R-P6yoM7-U/SIshp-Aq71MT9oIB9RthCyRhK5VouOtfgTWd5oMPHfQ),signal-2026-01-04-115321.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/bvBRH9ls5w5oOJ7R1cwOfA/yd4dForKc8o9yfE8KD_u6YY2fJN8HzV7hqgjCoAQKOIqPwzym2elhEUjJgxZDE9ng4ZM10AMPKxGSJqZrwaTOfyaRkmqlwUViWaIviLOqNmlsrkcIhldhIa5m4OmBCdOhd1DEMwhHQRghNYVJBJSOGsSnYLIDsMLMz-QOtp_fSc3xKp5wkzLMnfviPQ-Tecn/kbgQbhGuLR1TstKiXyv-RPyzYreQVE6xKkzal58Srw0),394RDA-black-SUV-11-12_29.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/RxGiMfH_vrc3rmhtOnXBIw/iyR8Rn_XH6ccdzH42M4hXAOVEM4s9Nm7ffm29E3AHqH9oACUu9jW886mS3Pm5e6n4V0NWKffDaP3_E5lymtAlETpuQgFIlR_WtTHociclpC6vnTjkH6HCP6wPibCpceSzLEc7NP0o7SzlqncZjv-zU4nqaXEgzhXZkYLNjWruNE240n5l85fL0U4GyrggL0C/eyiFt758dfgaLMlsWsljsdzAtlGGPJsuGal8PRux4xI),327816960418fd5cb6a047dce07c350f15a563974127a427bd1e131168374270.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/4I_JkDcFbDmNiZvlv5Gdug/MpfnscKxhiRUH3B9X-xfsb-nRpdBgs7zC6sBgBjXYW5KO-VEt03Z_wDTj75-K8FemoDMZaAGcstMzMjl5lT7I7FYRsxDqzmv64K33pLFEQsPyXjT1cpprP3Dhe-4uJroq4NpUefjoiE2YyBmc5xLh0N1U8P-iJ3xL9ypnYImVIRi_Wpft9mGTPeg5r8mqb7YP5OdvrR2wYC749rle916WRBpvI3dXOQ6NrSRq-4NtpQ/987qLlPnrBFXMCL_Eg9Vf5pmDcQth9Ae7dNWf5lTqrY),DSC_0030.JPG (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/6OyY9yLs7lFMSmrzagnn9w/KHNX57_SrWTtjyhR3Zjv5OJxK3fELdI02H9cx-rmAR1n646MNy5yM6el3Dn_nF-ktHl2QrWBtdWKfxNNk-u19YLipTEeH6EDqf1eGuYwyBsfMBzzu_1QG8O9ga_JFnEoi-hJ-98N_l5FPIlGYlQONlygR-GZcSN1F2wwM4Ggd74/co7cuwGyp_Ke3P3nyFq0KoxB9yOprf2JTnfFeqzFJVE),signal-2026-01-11-093723.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/WI66iCQ4V1-kLiUzPefF0Q/N1fnsFEeR9-A82jVb_n_OkDoS5E5tWLp5ahh-h0b1LUY53tL69YV3mDAnLsFV-Kjj4Y32DQA6E695fM2WfuLobrso3LmyvG1ZXW-rkkvZq2H7MvlUDfpMnSEPsOSOEIBVmxTFhLKJZ9nBXHpXZXpjOeELO-f5z8mR7j4QMXHc6qzKJbg7ZkajGuSTJCqsrV3/fWsYyTDrUPvKJUlz5nZnrISSPwqqWJdSVPR8UyCHHd0),Screenshot 2026-01-12 at 11.39.47 AM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/EzPTU7aR995ZoPeWgfa9PA/tpQSILU6vXyvvrZgTnCm78FJjyFMJL4yq4ZRKC5FnC-jlrvErUqItDNbWfMDXRF7E1S9TIdFF8ye3JA3pgSf5ilUGsK97YPqyt4Uy16ye0KaedFHoslhlLBN4ku1S35fhk8LETNvssDM05KRB87eABz08EwhG7j984_tiq0LL7ZYLD2mKiY0WLuMsg0W1q0l/ftAstyq4Zib6kxZjzJ6MR33t-I6glb0n80Vr3kKxIuQ)",1/14/2026 2:57pm,,394RDA,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=394RDA&prefill_Plate+Issuer=MN%20-%20Minnesota
39652A (WI),9,WI - Wisconsin,Confirmed ICE,"Blue SUV Mitsubishi , Silver  Mitsubishi , Gray / grey SUV Mitsubishi , Gray / grey  Mitsubishi , Gray / grey SUV  , Gray / grey SUV Other (describe in notes) ,    , Dark   ","ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Tactical gear inside vehicle",checked,Also reported as 39052A,39652AT-black-SUV-11.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/tx0IdeT-ZAJlG7g5XoeQIQ/_lRAgASrW3laF23WuP6WBN4tfIIXswNJk8ZqhAZ6vaQqL5I68AoVj7_uRO99bQxPyMtE6CuErJfJAku_fnd3rz6RFnzU_71kjIQfIJX7AAo0hARY0bcSiF9Zwg_flpgG-e5pUIQ0Zk4rzs77ahjAVDHBFm9V8YrAa71w7xrodXU/UKIXddiQ2mfy29XEp_wW7j8rEYuTHLcvWT7H0znf-lo),1/7/2026 10:00am,"34th & Portland, South Mpls ",39652A,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=39652A&prefill_Plate+Issuer=WI%20-%20Wisconsin
39695A (WI),5,WI - Wisconsin,Confirmed ICE,"Black  Mitsubishi ,    , Black SUV Mitsubishi ","ICE agent(s) seen in vehicle, Seen in a convoy, Tinted/blacked-out windows, ICE agent(s) seen in vehicle, Seen in a convoy, Verbally or physically aggressive, ""Intimidation (observing, filming, etc.)"", Erratic/aggressive driving, Tinted/blacked-out windows, Tactical gear inside vehicle, Embedded lights",checked,,signal-2026-01-11-083433.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/yjgSGagHx7xlWWfhpak5EA/ao1J0LzlNDYek40oLUX4MX0bs9EZWn8AkMImTXDpc44FXKjMp-PZEs5kWUsOEQgxqhiRJkxzLyxKmV2Gc1-37NAVxmQ2txHcUGBX7ntWl89AW_a0EA4KIQ4ViLfSNnIWz14q7mnVkJA3Kmv9PeQFZmz32iJi1KdERLt-T8iixaPYoq1zIKVJGZ8HLJbTZOgB/WB-2193mnC0ZXXxUFmUcydT-jYKnINjZP43uIZIb0Ks),1/15/2026 2:02pm,"Atwood Apartments, Chestnut Drive, Eden Prairie, MN 55344",39695A,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=39695A&prefill_Plate+Issuer=WI%20-%20Wisconsin
39715AF (IL),2,IL - Illinois,Highly suspected ICE,"Red Sedan Hyundai , Red Sedan Hyundai Sonata",,checked,,Screenshot 2026-01-18 142839.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/rAUdZt6sWYLNi9tJj_a1Zg/OJL7d0wtjXMeTkj2MlQeKNpsAshwuvzaOQigdrTiT08hC4q4SIv7H_tH8QYgSUpEMhFGIE8xl6tusMx03A2UEXHGIvkXyweaptkE_rkpao4LcQWx9MiOOdt3gulvd-jj2LMVAcGBEBUrj4uN2GR_aMuCHjjf-4BLSQZKnWj8V7kNoulIhz0FGelgkEvi6zMZ/Vqo4huB-Qs1n-LXMJtAyItAHRhiw_srcz8_XO-87i5c),1/17/2026 10:08am,Whipple,39715AF,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=39715AF&prefill_Plate+Issuer=IL%20-%20Illinois
399551,1,,Highly suspected ICE, Truck Ford ,ICE agent(s) seen in vehicle,checked,,,1/8/2026 4:00pm,WHIPPLE,399551,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=399551
399727C (MT),4,MT - Montana,Highly suspected ICE,"   , Black SUV Hyundai , Dark gray / grey SUV Hyundai Tucson, Dark SUV Hyundai Tucson",Tinted/blacked-out windows,checked,,"Screenshot 2026-01-11 at 2.54.56 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/Zf4BYJW1j1-lIKZmq1AaYQ/LFA5_bswV5if5lRsFg7N2cTKoIEV1XTc7PXUBCKcAxB7sxMdvEhA2C662yXoaU4O6SPOEd9kP7SJpkEqr9vbR5gzSSbwouLJukSHOOjIsCoBPC74G0JVQ4k6eQfC8oDHd-vaVbFpefByV4h0YpqwZp4W4DYBYD_mOR7jqNGaEUjq0XyXeO4TW1xe6EId1h2i/WijQrp4E3RuRhVVsRXIuRGd--sUlkhLPbOqwG0TJfa0),signal-2026-01-13-124135.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/TBeFrLxtN1jalKxxLC_cOA/NznCfOirsHi8UVh9aVWkcrPObAykWU2MnGiTO9oq5VHbh-PzVaaKlDWxHp4kndLbcInhRqsfbSjFesx1xmpgea_Wdgv7FahQhxGEmtzB1bdbalsGoDJrs8UH6_h456k90Ic17sk_AsQeLIga5YIGXA_ZeFx1WJRoKpKlkq3A6jKQyehY5RzxyxZV7O2_eEOP/5wqABAXIM4CNfita3eAjRZI3I_B5yoB4k76JcGcIKdY)",1/13/2026 12:41pm,Whipple,399727C,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=399727C&prefill_Plate+Issuer=MT%20-%20Montana
399A551 (VT),20,VT - Vermont,Confirmed ICE,"Tan Truck Ford F-150, Tan Truck Ford , Dark gray / grey Truck Ford F-150, Brown Truck Ford , Brown Truck Ford F-150, Gray / grey Truck Ford F-150,  SUV Ford F-150, Brown Truck  , Black Truck Ford F-150,  Truck Ford F-150, Dark Truck Ford F-150","ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Seen in a convoy, Tinted/blacked-out windows",checked,,ed118a9b6b3ab639029880a4a721fc354c0010035c71a368ec87a8fd57fec0c8.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/nFi-jh-UUH-8emnhVkhtyw/QyEFdEiJ4G9oh3phlZVVJcVHbc8TkM8sxlBPXjvvDUVd0MdJynl6FmylkaP0W7delIX07lS7EwXYtOUy-Yt_BLuhhK7pwgHQp3Ui5yAfJCmwBs6y6SsI6Nk1TbyuaoUHIYEd8bWMVVOoEV6m9sMvdP98iOMgtcA4I4s5J9Qtr8_q-E0Eo440FCRXy-ici-OcUk9bqhlazTH71NnGG9DmRbdBf9zlPKSy7d8jPjJLoDg/A1ctk0JLnSHNRS5wROpI_JOn5V92BRkRNajPRODaJ2I),1/15/2026 8:58am,,399A551,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=399A551&prefill_Plate+Issuer=VT%20-%20Vermont
39E78 (NE),3,NE - Nebraska,Confirmed ICE,"White  Dodge Caravan, White Minivan Other (describe in notes) Other (describe in notes), White Minivan Dodge Caravan","ICE agent(s) seen in vehicle, Tactical gear inside vehicle",checked,,,1/14/2026 3:00pm,Whipple,39E78,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=39E78&prefill_Plate+Issuer=NE%20-%20Nebraska
3ACS14,9,,Confirmed ICE,"Black SUV Dodge Durango, Dark SUV Dodge Durango, Black SUV Dodge , Black SUV Dodge Other (describe in notes)","Present at other ICE action, Present at raid or abduction, Present at raid or abduction, Erratic/aggressive driving, ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Present at raid or abduction, Tinted/blacked-out windows, ICE agent(s) seen in vehicle, Tinted/blacked-out windows, Seen in a convoy, Seen in a convoy, Tinted/blacked-out windows",checked,,"image(15).jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/rAgXgPMlKWTG7g2PwQQZKA/t5syQgXRz26E7KKGE38NST0PtGWr1itWOeafr0jxbPVWPVd9G-ovjjt6xczGyxTLVtXgGqHfioj8JUC8kRaXSIoubW7bJOyAyXwYFAYFTAoQ4Fe_PJFUADbHzhfopiiK0lmZIRQTU220EvrIIGw7PahB97ianyZhlCDRuiR92LE/urZxrtj2p7-fQYabrjWHuZQ4vd-QMfolOwTSiDvMllw),PXL_20260107_155121865.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/TvbrHB-TCvU-fO0szprPow/s243JkagFc7s1BR8lJ_gp_PNCTjM2aONOgfTfmMUFKYZk0ZSoBg8LVjg28RVe1bT-dBuUxmumTjoOZkC80hhg4tn513TDcYZZ2h-cVF6H6RvhR2ZvE1pRHhRD42sY8JEwRbqeTVF8xshgEjB7FcpOwn3pd2HhWXZGaUgGksjUtWgOrLO1PLnugB33lxxoduv/I0MtT2UmjFonIRINCJYfbSXhGiW2v5z4dHk-AZ3x1J0),e958f5484c2a00ed9659274dfe26996a45bdebe841dcc8b09231fe717ab833de.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/C_GjoGJ-UJJJnANtCWId5g/vQUOWDilNvi_fxSgXdatvqZQzXy6koQdptYzbkbl4kthz083uvk_lQUVM4Tg2S5JiFbQTBZrSdVc0ip-AYbnN7ikqQ8btyUOP4kDfnnqoY1X8tJY5XAdJ5QsL5RtCL9cUeUP83kUA8nKxYUcTm7wDG-nLwXLsn-irAZM6zyyGCruKyEOhg9DBKsxU621forPBO0XIqK8A-GHM7z2__ZqyhGEKmpbjlXTue-wwlAx_yI/D07NqWA2Yer3yTCR2XvgsYYnKvGdq82QCKa0k77cWus)",1/14/2026 3:15pm,,3ACS14,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3ACS14
3AMK61 (MA),1,MA - Massachusetts,Highly suspected ICE,Black  Dodge Charger,"Obscured/tinted license plate(s), Possible plate switching",,,3AMK61.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/69K1GpOQDnMidtbawbjY2w/OxXKQuhmR3P1JLORrZIBFiIMaSOigEEX_8AGdwI43RlTimctNsiYSGvUDfxwQ7O05tUD9dmdh3z0SHOEIfprnd5QgyAxmPbsF_mywpu6aCf_1XY7A4Qd870bA54DChNu92B5OIJ7N0whH9iyqGHJxw_NRbBQG-TzOoc7HiT1tak/8ViQeLnNSyGAh99kalcgKRO-fhR2Ur8kOAkw0jepxCM),1/1/2026 12:00am,"Sheraton lot, Woodbury",3AMK61,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3AMK61&prefill_Plate+Issuer=MA%20-%20Massachusetts
3CC5815 (MD),5,MD - Maryland,Confirmed ICE,"Blue SUV Ford Explorer, Dark SUV Ford Explorer, Gray / grey SUV Ford Explorer, Blue SUV Ford ","ICE agent(s) seen in vehicle, ICE agent(s) seen in vehicle, Involved in abduction, Erratic/aggressive driving, Tinted/blacked-out windows",checked,,,1/12/2026 8:09pm,Whipple,3CC5815,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3CC5815&prefill_Plate+Issuer=MD%20-%20Maryland
3CC6815 (MD),1,MD - Maryland,Highly suspected ICE,Blue SUV Ford Expedition,"Seen in a convoy, Tinted/blacked-out windows, Missing license plate(s), Seen with known ICE vehicle",,,,1/13/2026 7:42pm,"Holiday Inn & Suites, Red Wing, MN",3CC6815,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3CC6815&prefill_Plate+Issuer=MD%20-%20Maryland
3CR3517 (MD),2,MD - Maryland,Highly suspected ICE,"Dark SUV Jeep , Dark SUV  ",,checked,,signal-2026-01-11-084119.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/aqz7EN6pva3rT1hqu68qnQ/7_6x55d1EUin742yENFmiOFMx0DBqGPZWt4qk86XEzTBWbPsopMQCfu-Kt5wcVlOiy-EuKN65Utw_vTNEQ_HQ9AAt0jhHC-CV7XGu3OzsJ51eInr2smCa-V0RmDsDuucgra4tjGGeCw9Pn-Ir9fDt1agdteUNwcpk4Op6LdKWpYmbd6djqc1Nagxvs_rfQL-/BH4C5RCn9sm91S9w3iYjLr4QxGCux6UDpYQCeHIyNhE),1/15/2026 7:13am,,3CR3517,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3CR3517&prefill_Plate+Issuer=MD%20-%20Maryland
3DK812 (MN),1,MN - Minnesota,Highly suspected ICE,White Truck RAM ,,checked,,signal-2026-01-16-121531_020.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/3T3Mcgyq61ioLh_SJbJQHw/XbiZ7RuZt9qBviM46OgM2dFUHbVLuReIZCFWhUb3uvS-4Gj7Lp27FwV2FxskZxxEykeVeaA8dxItSYLWWtu21v95o3SZNvxN9oeTEzMrLVpkLvUw92Vor3eRKma1KiTMO9WCuHFRILFeTe80pKB9xeajpSUBnzJqEp0US7hUbpXeCQ9MMjDwlVzhgV2VgshL/dPkzMTHQumx_5fCZNsQ5fLoGcn3Zt2gZnXznhTsSQ-4),1/16/2026 12:15pm,Whipple,3DK812,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3DK812&prefill_Plate+Issuer=MN%20-%20Minnesota
3EL1925 (MD),1,MD - Maryland,Confirmed ICE,Dark gray / grey SUV Hyundai Palisade,"Tinted/blacked-out windows, ICE agent(s) seen in vehicle",,,IMG_0195.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1768874400000/4EjAzkCFleG2ZJci0GiVBQ/xZHLC60cTT9cb-VjjoQaEaX73R4tXIrP2hO5aQfYP-1NRZpYa7BwibekB6rPFl9055qf1cS_nxcxl90mIauOM0rJbdwISvKJ1zeWGoTesJNlu-dmtbV4GUlwSXIZWUltRlkTbzoBO1ZIZB9LsZqNsetCITHrLKppdErIlgObGOo/6fkxAv_c3ywFJHEbCa-AYBBGhWoMUmnQy-Fb7-_vkB8),1/18/2026 10:10am,"JW Marriott @ 2141 Lindau Ln, Bloomington, MN 55425",3EL1925,https://airtable.com/apprPhYEXiE9svCFc/pagzgcHmtZuMAMvZ1/form?prefill_Plate+%23=3EL1925&prefill_Plate+Issuer=MD%20-%20Maryland
